Catalog ID,Product Code,Product Series,Product Category,English Product Name,Chinese Product Name,Model / Specification,Capacity,Dimensions,Material,Packing,Domestic Reference Price RMB,Factory Cost RMB,EXW Base Price USD,EXW Standard Price USD,EXW Distributor Price USD,MOQ,Recommended Export Level,Notes,Internal Exchange Rate,RMB Base Price Source,Small Order Price Formula,Standard Price Formula,Distributor Price Formula,Price Owner,Last Updated,Export Priority,Risk Note
PC-BOTTLE-350ML-02,PC-BTL-11077,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,110×77mm,350mL,Opening: TBD; Bottom: 77mm; Height: 110mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-520ML,PC-BTL-10891,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,108×91mm,520mL,Opening: TBD; Bottom: 91mm; Height: 108mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-600ML,PC-BTL-1009595,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,100×95×95mm,600mL,Opening: TBD; Bottom: 95x95mm; Height: 100mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-650ML,PC-BTL-1109595,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,110×95×95mm,650mL,Opening: TBD; Bottom: 95x95mm; Height: 110mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-800ML,PC-BTL-14596,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,145×96mm,800mL,Opening: TBD; Bottom: 96mm; Height: 145mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-1000ML,PC-BTL-18596,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,185×96mm,1000mL,Opening: TBD; Bottom: 96mm; Height: 185mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-TUBE-50ML,PC-TUB-10030,PC Tissue Culture Series,PC Culture Tubes,PC Culture Tubes,PC组培试管,100×30mm,50mL,Opening: TBD; Bottom: 30mm; Height: 100mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C; Suitable for primary culture and sterile work,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-TUBE-80ML,PC-TUB-15030,PC Tissue Culture Series,PC Culture Tubes,PC Culture Tubes,PC组培试管,150×30mm,80mL,Opening: TBD; Bottom: 30mm; Height: 150mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C; Suitable for primary culture and sterile work,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-TUBE-100ML,PC-TUB-20030,PC Tissue Culture Series,PC Culture Tubes,PC Culture Tubes,PC组培试管,200×30mm,100mL,Opening: TBD; Bottom: 30mm; Height: 200mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C; Suitable for primary culture and sterile work,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-TUBE-120ML,PC-TUB-9147,PC Tissue Culture Series,PC Culture Tubes,PC Culture Tubes,PC组培试管,91×47mm,120mL,Opening: TBD; Bottom: 47mm; Height: 91mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C; Suitable for primary culture and sterile work,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-95X90X83,PC-CUP-959083-V,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,95×90×83mm,TBD,Opening: 90mm; Bottom: 83mm; Height: 95mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-95X90X83-02,PC-CUP-959083-S,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,95×90×83mm,TBD,Opening: 90mm; Bottom: 83mm; Height: 95mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-125X90X83,PC-CUP-1259083-V,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,125×90×83mm,TBD,Opening: 90mm; Bottom: 83mm; Height: 125mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-125X90X83-02,PC-CUP-1259083-S,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,125×90×83mm,TBD,Opening: 90mm; Bottom: 83mm; Height: 125mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-340ML,PC-CUP-659082,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,65×90×82mm,340mL,Opening: 90mm; Bottom: 82mm; Height: 65mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-CUP-430ML,PC-CUP-859081,PC Tissue Culture Series,PC Wide-Mouth Culture Cups,PC Wide-Mouth Culture Cups,PC广口培养杯,85×90×81mm,430mL,Opening: 90mm; Bottom: 81mm; Height: 85mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Wide-mouth design; High-transparency PC material; Ventilated culture supported; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-160ML,PP-CON-686755,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,68×67×55mm,160mL,Opening: 67mm; Bottom: 55mm; Height: 68mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-200ML,PP-CON-658073,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,65×80×73mm,200mL,Opening: 80mm; Bottom: 73mm; Height: 65mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-300ML,PP-CON-7310077,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,73×100×77mm,300mL,Opening: 100mm; Bottom: 77mm; Height: 73mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-500ML,PP-CON-9012092,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,90×120×92mm,500mL,Opening: 120mm; Bottom: 92mm; Height: 90mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-750ML,PP-CON-11012296,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,110×122×96mm,750mL,Opening: 122mm; Bottom: 96mm; Height: 110mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-CONTAINER-1000ML,PP-CON-124130105,PP Culture Series,PP Tissue Culture Containers,PP Tissue Culture Containers,PP组培容器,124×130×105mm,1000mL,Opening: 130mm; Bottom: 105mm; Height: 124mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Ventilated culture supported; Autoclavable up to 120°C; Suitable for large-scale cultivation,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-87X60X45,PP-BOX-876045,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,87×60×45mm,不适用,Top: 87×60mm; Bottom: 不适用; Height: 45mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-100X80X100,PP-BOX-10080100,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,100×80×100mm,不适用,Top: 100mm; Bottom: 80mm; Height: 100mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-120X88X60,PP-BOX-1208860,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,120×88×60mm,不适用,Top: 120mm; Bottom: 88mm; Height: 60mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-500ML,PP-BOX-1208080,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,120×80×80mm,500mL,Top: 120mm; Bottom: 80mm; Height: 80mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-500ML-02,PP-BOX-958085-M02,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,95×95×85mm,500mL,Top: 95×95mm; Bottom: 80×80mm; Height: 85mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-600ML,PP-BOX-1209080,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,120×90×80mm,600mL,Top: 120mm; Bottom: 90mm; Height: 80mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-750ML,PP-BOX-1108895-M03,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,110×110×95mm,750mL,Top: 110×110mm; Bottom: 88×88mm; Height: 95mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-800ML,PP-BOX-12090100,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,120×90×100mm,800mL,Top: 120mm; Bottom: 90mm; Height: 100mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PP-BOX-1000ML,PP-BOX-11092120-M03,PP Culture Series,PP Culture Boxes,PP Culture Boxes,PP培养盒,110×110×120mm,1000mL,Top: 110×110mm; Bottom: 92×92mm; Height: 120mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-quality PP material; Lightweight design; Heat-resistant and autoclavable; Cost-efficient cultivation option,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BAG-HEATSEAL-12X14,PP-BAG-HS-1214,PP Culture Series,Heat-Seal Tissue Culture Bags,Heat-Seal Tissue Culture Bags,热封组培袋,12×14cm 平口袋,TBD,Length: TBD; Width: 12cm; Height: 14cm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Lightweight and easy to transport; Minimal storage space; Sealed or vented options; For sterile culture applications,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BAG-HEATSEAL-12X8X18,PP-BAG-HS-12818,PP Culture Series,Heat-Seal Tissue Culture Bags,Heat-Seal Tissue Culture Bags,热封组培袋,12×8×18cm 自立袋,TBD,Length: 12cm; Width: 8cm; Height: 18cm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Lightweight and easy to transport; Minimal storage space; Sealed or vented options; For sterile culture applications,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BAG-SELFSEAL-12X14,PP-BAG-ZIP-1214,PP Culture Series,Self-Seal Stand-Up Tissue Culture Bags,Self-Seal Stand-Up Tissue Culture Bags,自封自立组培袋,12×14cm 自立袋,TBD,Length: TBD; Width: 12cm; Height: 14cm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Self-seal stand-up structure; Lightweight and cost-efficient; Sealed or vented options; For sterile culture applications,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BAG-SELFSEAL-16X18-5,PP-BAG-ZIP-16185,PP Culture Series,Self-Seal Stand-Up Tissue Culture Bags,Self-Seal Stand-Up Tissue Culture Bags,自封自立组培袋,16×18.5cm 自立袋,TBD,Length: TBD; Width: 16cm; Height: 18.5cm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Self-seal stand-up structure; Lightweight and cost-efficient; Sealed or vented options; For sterile culture applications,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-030,CAP-030,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,30#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-040,CAP-040,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,40#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-052,CAP-052,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,52#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-053,CAP-053,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,53#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-054,CAP-054,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,54#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-055,CAP-055,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,55#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
